Surface form	Link
Abdul Matin	http://aksw.org/notInWiki/Abdul_Matin
Abhijeet Group	http://aksw.org/notInWiki/Abhijeet_Group
ACCESS	http://dbpedia.org/resource/Arab_Community_Center_for_Economic_and_Social_Services
ACLU	http://dbpedia.org/resource/American_Civil_Liberties_Union
Action News	http://dbpedia.org/resource/Action_News
Adelson	http://dbpedia.org/resource/Sheldon_Adelson
Adria MacKenzie	http://aksw.org/notInWiki/Adria_MacKenzie
Adrian Lund	http://aksw.org/notInWiki/Adrian_Lund
Adrienne Kinne	http://aksw.org/notInWiki/Adrienne_Kinne
Aeroflot	http://dbpedia.org/resource/Aeroflot
Affordable Care Act	http://dbpedia.org/resource/Patient_Protection_and_Affordable_Care_Act
AFP	http://dbpedia.org/resource/Agence_France-Presse
Agustin Pichot	http://dbpedia.org/resource/Agust%C3%ADn_Pichot
AHS	http://aksw.org/notInWiki/Apalachee_High_School_football_team
AIBA	http://aksw.org/notInWiki/International_Boxing_Association
Aiea	http://dbpedia.org/resource/Aiea,_Hawaii
Al Shabaab	http://dbpedia.org/resource/Al-Shabaab
Alabama	http://dbpedia.org/resource/University_of_Alabama
Alan Grover	http://aksw.org/notInWiki/Alan_Grover
Alan Rifkin	http://aksw.org/notInWiki/Alan_Rifkin_(Analyst)
Alan Spinniken	http://aksw.org/notInWiki/Alan_Spinniken
Alberto Contador	http://dbpedia.org/resource/Alberto_Contador
Alec Gutierrez	http://aksw.org/notInWiki/Alec_Gutierrez
Alejandro Mayorkas	http://aksw.org/notInWiki/Alejandro_Mayorkas
Alex Rigopulos	http://dbpedia.org/resource/Alex_Rigopulos
Alexandru Ivan	http://aksw.org/notInWiki/Alexandru_Ivan
Alvaro Enciso	http://aksw.org/notInWiki/Alvaro_Enciso
Amazon	http://dbpedia.org/resource/Amazon.com
Ambassador Bridge	http://dbpedia.org/resource/Ambassador_Bridge
Amina	http://aksw.org/notInWiki/Amina
Amnesty International	http://dbpedia.org/resource/Amnesty_International
Anand Kumar	http://aksw.org/notInWiki/Anand_Kumar
Andrea Hlavackova	http://dbpedia.org/resource/Andrea_Hlav%C3%A1%C4%8Dkov%C3%A1
Andreas Seppi	http://dbpedia.org/resource/Andreas_Seppi
Andrew Fishkin	http://aksw.org/notInWiki/Andrew_Fishkin
Andrew Nickelhoff	http://aksw.org/notInWiki/Andrew_Nickelhoff
Andrew Strauss	http://dbpedia.org/resource/Andrew_Strauss
Andrew Struass	http://dbpedia.org/resource/Andrew_Strauss
Andrew Sussman	http://aksw.org/notInWiki/Andrew_Sussman
Andy Hall	http://aksw.org/notInWiki/Andy_Hall
Angel Di Maria	http://dbpedia.org/resource/%C3%81ngel_di_Mar%C3%ADa
Angela Chan	http://aksw.org/notInWiki/Angela_Chan
Angelique Kerber	http://dbpedia.org/resource/Angelique_Kerber
Anglo American Chairman	http://aksw.org/notInWiki/Anglo_American_Chairman%27s_Fund
Angus Houston	http://dbpedia.org/resource/Angus_Houston
Animal Industry	http://aksw.org/notInWiki/Department_of_Animal_Industry
Anthony Majestro	http://aksw.org/notInWiki/Anthony_Majestro
Antiques Centre	http://aksw.org/notInWiki/Antiques_Centre_of_Troy
Appalachian	http://dbpedia.org/resource/Appalachian_Trail_Conservancy
Appalachian Power	http://dbpedia.org/resource/Appalachian_Power
Apple	http://dbpedia.org/resource/Apple_Inc.
Apple Inc.	http://dbpedia.org/resource/Steve_Jobs
Archdiocese	http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Portland_in_Oregon
Argentina	http://dbpedia.org/resource/Argentina_national_football_team
Arizona Cardinals	http://dbpedia.org/resource/Arizona_Cardinals
Army	http://dbpedia.org/resource/United_States_Army
Army Gen. Martin Dempsey	http://dbpedia.org/resource/Martin_Dempsey
Army General Martin E. Dempsey	http://dbpedia.org/resource/Martin_Dempsey
Arthur Caplan	http://dbpedia.org/resource/Arthur_Caplan
Arthur Kwesi-John	http://aksw.org/notInWiki/Arthur_Kwesi-John
Asif Shahzad	http://aksw.org/notInWiki/Asif_Shahzad
Associated Press	http://dbpedia.org/resource/Associated_Press
Athens Regional	http://dbpedia.org/resource/Athens_Regional_Medical_Center
Athens Regional Medical Center	http://dbpedia.org/resource/Athens_Regional_Medical_Center
Atlanta	http://dbpedia.org/resource/Atlanta
Aurora	http://dbpedia.org/resource/Aurora,_Colorado
Australia	http://dbpedia.org/resource/Casey_Dellacqua
Automotive Consulting Group Inc.	http://aksw.org/notInWiki/Automotive_Consulting_Group_Inc.
B. Riley %26 Co	http://aksw.org/notInWiki/B._Riley_%26_Co
B.C. Civil Rights Association	http://aksw.org/notInWiki/B.C._Civil_Rights_Association
Bafetimbi Gomis	http://dbpedia.org/resource/Baf%C3%A9timbi_Gomis
Baffert	http://dbpedia.org/resource/Bob_Baffert
BALCO	http://dbpedia.org/resource/Bay_Area_Laboratory_Co-operative
Baltimore	http://dbpedia.org/resource/Baltimore_Orioles
Baltimore Orioles	http://dbpedia.org/resource/Baltimore_Orioles
Bangor	http://dbpedia.org/resource/Bangor,_Iowa
Bannock Streets	http://aksw.org/notInWiki/Bannock_Streets
Banny Banerjee	http://aksw.org/notInWiki/Banny_Banerjee
Barbara Yeninas	http://aksw.org/notInWiki/Barbara_Yeninas
Barclays	http://dbpedia.org/resource/Barclays
Bart Ney	http://aksw.org/notInWiki/Bart_Ney
Bay Area	http://dbpedia.org/resource/San_Francisco_Bay_Area
Bay Bridge	http://dbpedia.org/resource/San_Francisco_%E2%80%93_Oakland_Bay_Bridge
Bazzie	http://aksw.org/notInWiki/Bazzie
Becky	http://aksw.org/notInWiki/Becky
Bed Bath	http://dbpedia.org/resource/Bed_Bath_%26_Beyond
Bednarik	http://dbpedia.org/resource/Chuck_Bednarik_Award
Beijing	http://dbpedia.org/resource/Beijing
Belgrade Lakes	http://dbpedia.org/resource/Belgrade,_Maine
Ben Tanzer	http://aksw.org/notInWiki/Ben_Tanzer
Benhabib	http://aksw.org/notInWiki/Djemila_Benhabib
Benner	http://aksw.org/notInWiki/Norman_Benner
Bernard Hinault	http://dbpedia.org/resource/Bernard_Hinault
Bernard Tomic	http://dbpedia.org/resource/Bernard_Tomic
Bethanie Mattek-Sands	http://dbpedia.org/resource/Bethanie_Mattek-Sands
Beverly Heritage Center	http://aksw.org/notInWiki/Beverly_Heritage_Center
Beverly Jo Harris	http://aksw.org/notInWiki/Beverly_Jo_Harris
Bill Ericson	http://aksw.org/notInWiki/Bill_Ericson
Bill Lee	http://aksw.org/notInWiki/Bill_Lee
Bill McDonough	http://aksw.org/notInWiki/Bill_McDonough
BIMP-EAGA Mountain Bike	http://dbpedia.org/resource/BIMP-EAGA
Binno	http://aksw.org/notInWiki/Angelo_Binno
Bluescope	http://dbpedia.org/resource/BlueScope_Steel
BMC	http://dbpedia.org/resource/BMC_Racing_Team
Bo Xilai	http://dbpedia.org/resource/Bo_Xilai
Bob Anderson	http://aksw.org/notInWiki/Bob_Anderson
Bob Emrich	http://aksw.org/notInWiki/Bob_Emrich
Bob Hamer	http://aksw.org/notInWiki/Bob_Hamer
Bob Martin	http://aksw.org/notInWiki/Bob_Martin
Bob Young	http://aksw.org/notInWiki/Bob_Young
Bobby Egbert	http://aksw.org/notInWiki/Bobby_Egbert
Bobby Valentine	http://dbpedia.org/resource/Bobby_Valentine
Bobby Wyatt	http://aksw.org/notInWiki/Bobby_Wyatt
Boeremag	http://dbpedia.org/resource/Boeremag
Boingo Wireless	http://dbpedia.org/resource/Boingo_Wireless
Boise Fire Department	http://aksw.org/notInWiki/Boise_Fire_Department
Boise National Forest	http://dbpedia.org/resource/Boise_National_Forest
Bologna	http://dbpedia.org/resource/Bologna
Boomer Esiason	http://dbpedia.org/resource/Boomer_Esiason
Bordt	http://aksw.org/notInWiki/Marianne_Bordt
Boston	http://dbpedia.org/resource/Boston_Red_Sox
Boston	http://dbpedia.org/resource/Boston
Boston Red Sox	http://dbpedia.org/resource/Boston_Red_Sox
Boulevard	http://aksw.org/notInWiki/Boulevard_and_Trumbull_Towing
Bowl	http://dbpedia.org/resource/Pro_Bowl
Brad Pitt	http://dbpedia.org/resource/Brad_Pitt
Bradford Wilcox	http://dbpedia.org/resource/W._Bradford_Wilcox
Brady Smith	http://aksw.org/notInWiki/Brady_Smith
Brandon Belt	http://dbpedia.org/resource/Brandon_Belt
Brendan Cassar	http://aksw.org/notInWiki/Brendan_Cassar
Brian Hemphill	http://aksw.org/notInWiki/Brian_Hemphill
Brian Smith	http://aksw.org/notInWiki/Brian_Smith_(Coach)
Bridgemont Community	http://aksw.org/notInWiki/Bridgemont_Community
Bridgemont Community	http://dbpedia.org/resource/Bridgemont_Community_and_Technical_College
Brinker	http://dbpedia.org/resource/Nancy_Brinker
Britain	http://dbpedia.org/resource/Great_Britain
British Airways	http://dbpedia.org/resource/British_Airways
Brody Benson	http://aksw.org/notInWiki/Brody_Benson
Brooklyn	http://dbpedia.org/resource/Brooklyn
Bruce Bochy	http://dbpedia.org/resource/Bruce_Bochy
Bruno Ferrante	http://dbpedia.org/resource/Bruno_Ferrante
Buck Feist	http://aksw.org/notInWiki/Buck_Feist
Bud Bunce	http://aksw.org/notInWiki/Bud_Bunce
Bulls	http://dbpedia.org/resource/Chicago_Bulls
Bureau	http://dbpedia.org/resource/United_States_Bureau_of_Reclamation
Bureau of Land Management	http://dbpedia.org/resource/Bureau_of_Land_Management
Bustos	http://aksw.org/notInWiki/Ilda_Bustos
Butler Art Museum	http://aksw.org/notInWiki/Butler_Art_Museum
Cain	http://aksw.org/notInWiki/Brandon_Cain
California	http://dbpedia.org/resource/California
California	http://dbpedia.org/resource/Occupational_safety_and_health
California Department	http://aksw.org/notInWiki/California_Department_of_Forestry_and_Fire_Protection
Callaghan	http://aksw.org/notInWiki/Callaghan
Canada	http://dbpedia.org/resource/General_Motors_Canada
Capital Art Center	http://aksw.org/notInWiki/Capital_Art_Center
CapStone Investments	http://aksw.org/notInWiki/CapStone_Investments
Capt. Dale Engle	http://aksw.org/notInWiki/Dale_Engle
Cardinals	http://dbpedia.org/resource/Arizona_Cardinals
Carlo Fusco	http://aksw.org/notInWiki/Carlo_Fusco
Carnival	http://aksw.org/notInWiki/Carnival_Corporation_%26_PLC
Carolina	http://dbpedia.org/resource/Carolina_Panthers
Carolyn Beem	http://aksw.org/notInWiki/Carolyn_Beem
Carrie Byalick	http://aksw.org/notInWiki/Carrie_Byalick
Carroll College	http://dbpedia.org/resource/Carroll_College_(Montana)
Casey	http://aksw.org/notInWiki/Casey_Guerrero
Cashier 's Office	http://aksw.org/notInWiki/Council_Desmond_Thomas_Cashier_%27s_Office
Castles Unlimited Real Estate	http://aksw.org/notInWiki/Castles_Unlimited_Real_Estate
Catherine Crump	http://aksw.org/notInWiki/Catherine_Crump
Catherine Lucey	http://aksw.org/notInWiki/Catherine_Lucey
Cathy Moses	http://aksw.org/notInWiki/Cathy_Moses
CBS	http://dbpedia.org/resource/CBS
CBS News	http://dbpedia.org/resource/CBS_News
CBS NFL	http://aksw.org/notInWiki/CBS_NFL
CBS Sports	http://dbpedia.org/resource/CBS_Sports
CCA	http://dbpedia.org/resource/Corrections_Corporation_of_America
CCTV	http://dbpedia.org/resource/China_Central_Television
CEA	http://aksw.org/notInWiki/Changi_Experience_Agents
Cecile Richards	http://dbpedia.org/resource/Cecile_Richards
Celine Dumerc	http://dbpedia.org/resource/Céline_Dumerc
Centers	http://dbpedia.org/resource/Centers_for_Disease_Control_and_Prevention
Central	http://aksw.org/notInWiki/Miami_Central
Cesare Prandelli	http://dbpedia.org/resource/Cesare_Prandelli
Chad Johnson	http://aksw.org/notInWiki/Chad_Johnson_(wide_receiver)
Chad Johnson	http://dbpedia.org/resource/Chad_Johnson_(cornerback)
Chad Lojewski	http://aksw.org/notInWiki/Chad_Lojewski
Chad Oakley	http://aksw.org/notInWiki/Chad_Oakley
Champion	http://aksw.org/notInWiki/Robert_Champion
Chandler	http://aksw.org/notInWiki/Chandler,_Arizona
Charles Aris	http://aksw.org/notInWiki/Charles_Aris
Charles Aznavour	http://dbpedia.org/resource/Charles_Aznavour
Charles Elachi	http://dbpedia.org/resource/Charles_Elachi
Charles J. Micoleau	http://aksw.org/notInWiki/Charles_J._Micoleau
Charleston Civic Center Little Theater	http://aksw.org/notInWiki/Charleston_Civic_Center_Little_Theater
Charlie	http://aksw.org/notInWiki/Charlie
Chart House	http://aksw.org/notInWiki/Chart_House
Chelsea	http://dbpedia.org/resource/Chelsea_F.C.
Chen	http://aksw.org/notInWiki/Chen_Chung-hsing
Cherokee Village	http://dbpedia.org/resource/Cherokee_Village,_Arkansas
Chevron	http://dbpedia.org/resource/Chevron_Corporation
Chi Hui-jung	http://aksw.org/notInWiki/Chi_Hui-jung
Chicago	http://dbpedia.org/resource/Chicago
Chicago White Sox	http://dbpedia.org/resource/Chicago_White_Sox
Chief Cathy Lanier	http://dbpedia.org/resource/Cathy_L._Lanier
Children 's Hospital	http://dbpedia.org/resource/Cincinnati_Children%27s_Hospital_Medical_Center
Chile	http://dbpedia.org/resource/Chilean_Gendarmerie
China	http://dbpedia.org/resource/China
China Times	http://dbpedia.org/resource/China_Times
Chinese Association for Protecting the Diaoyutais	http://aksw.org/notInWiki/Chinese_Association_for_Protecting_the_Diaoyutais
Chiu Chun-wen	http://aksw.org/notInWiki/Chiu_Chun-wen
Choice Bakery	http://aksw.org/notInWiki/Choice_Bakery
Chris Enochs	http://aksw.org/notInWiki/Chris_Enochs
Chris Jones	http://aksw.org/notInWiki/Chris_Jones
Chris Lin	http://aksw.org/notInWiki/Chris_Lin
Chris Stadelman	http://aksw.org/notInWiki/Chris_Stadelman
Chris Wood	http://aksw.org/notInWiki/Chris_Wood_(Coach)
Christian Gunning	http://aksw.org/notInWiki/Christian_Gunning
Christine Mann	http://aksw.org/notInWiki/Christine_Mann
Christopher Clark	http://aksw.org/notInWiki/Christopher_Clark
Christopher Matthews	http://aksw.org/notInWiki/Christopher_Matthews
Chrysler	http://dbpedia.org/resource/Chrysler
Chung Ru Lin	http://aksw.org/notInWiki/Chung_Ru_Lin
Churkin	http://dbpedia.org/resource/Vitaly_Churkin
CIA	http://dbpedia.org/resource/Central_Intelligence_Agency
Cianbro	http://aksw.org/notInWiki/Cianbro
Cincinnati	http://dbpedia.org/resource/Eric_Kearney
Citizens for Responsibility and Ethics in Washington	http://dbpedia.org/resource/Citizens_for_Responsibility_and_Ethics_in_Washington
City	http://aksw.org/notInWiki/City_of_Colleges
Clark	http://aksw.org/notInWiki/Rick_Clark
Clark-Johnson	http://aksw.org/notInWiki/Sue_Clark-Johnson
Classic Auto Showplace Ltd.	http://aksw.org/notInWiki/Classic_Auto_Showplace_Ltd.
Claudio Sabatini	http://aksw.org/notInWiki/Claudio_Sabatini
Clem Sunter	http://aksw.org/notInWiki/Clem_Sunter
Cleveland	http://dbpedia.org/resource/Cleveland_Indians
Cleveland	http://dbpedia.org/resource/Cleveland_Browns
Clinton	http://dbpedia.org/resource/Clinton,_Ontario
CNET	http://dbpedia.org/resource/CNET
CNN	http://dbpedia.org/resource/CNN
CNOOC	http://dbpedia.org/resource/China_National_Offshore_Oil_Corporation
Coal Council	http://aksw.org/notInWiki/American_Coal_Council
Coalition Avenir Quebec	http://dbpedia.org/resource/Coalition_Avenir_Québec
Coconino National Forest	http://dbpedia.org/resource/Coconino_National_Forest
Col. Hagen Messer	http://aksw.org/notInWiki/Hagen_Messer
Colorado	http://aksw.org/notInWiki/Colorado_College_Tigers
Columbus	http://dbpedia.org/resource/Columbus,_Ohio
Colville Tribe	http://dbpedia.org/resource/Colville_tribe
Commission	http://aksw.org/notInWiki/Commission
Communist Party	http://dbpedia.org/resource/Communist_Party_of_China
Connecticut	http://aksw.org/notInWiki/Connecticut_Huskies_women%27s_basketball
Control Yuan	http://dbpedia.org/resource/Control_Yuan
Conway	http://dbpedia.org/resource/Conway,_Arkansas
Corey Mulloy	http://aksw.org/notInWiki/Corey_Mulloy
Cornell	http://dbpedia.org/resource/Cornell_University
Cory Curtis	http://aksw.org/notInWiki/Cory_Curtis
Cosmo	http://dbpedia.org/resource/Cosmopolitan_(magazine)
Costa-Castillo	http://aksw.org/notInWiki/Costa-Castillo
Council	http://aksw.org/notInWiki/Council_on_American-Islamic_Relations-Michigan
Cowboys	http://dbpedia.org/resource/Dallas_Cowboys
Craftsmen Guild	http://aksw.org/notInWiki/Carolina_Designer_Craftsmen_Guild
Craig Johnson	http://aksw.org/notInWiki/Craig_Johnson
Cupsuptic Lake	http://aksw.org/notInWiki/Cupsuptic_Lake
CVS MinuteClinic	http://aksw.org/notInWiki/CVS_MinuteClinic
D.C.	http://dbpedia.org/resource/Washington,_D.C.
Daily News	http://aksw.org/notInWiki/Daily_News
Daily News	http://dbpedia.org/resource/Philadelphia_Daily_News
Daiwa Capital Markets	http://aksw.org/notInWiki/Daiwa_Capital_Markets
Dale Earnhardt Jr.	http://dbpedia.org/resource/Dale_Earnhardt,_Jr.
Dallas Educational Foundation	http://aksw.org/notInWiki/Dallas_Educational_Foundation
Dan Bell	http://aksw.org/notInWiki/Dan_Bell
Dan Marino	http://dbpedia.org/resource/Dan_Marino
Dan McCranie	http://aksw.org/notInWiki/Dan_McCranie
Dan Rooney	http://dbpedia.org/resource/Dan_Rooney
Dan Tilkin	http://aksw.org/notInWiki/Dan_Tilkin
Dan Walsch	http://aksw.org/notInWiki/Dan_Walsch
Daniel Berlant	http://aksw.org/notInWiki/Daniel_Berlant
Daniel Yergin	http://dbpedia.org/resource/Daniel_Yergin
Danny Kanner	http://aksw.org/notInWiki/Danny_Kanner
Darrell Brock	http://aksw.org/notInWiki/Darrell_Brock
Darrell Brock	http://dbpedia.org/resource/Darrell_Brock_Jr.
Darryl Larson	http://aksw.org/notInWiki/Darryl_Larson
Daryl Johnson	http://dbpedia.org/resource/Daryl_Johnson
Dave Nagle	http://aksw.org/notInWiki/Dave_Nagle
Dave Olson	http://aksw.org/notInWiki/Dave_Olson
David Clack	http://aksw.org/notInWiki/David_Clack
David Eby	http://aksw.org/notInWiki/David_Eby
David Neustadt	http://aksw.org/notInWiki/David_Neustadt
David Runk	http://aksw.org/notInWiki/David_Runk
David Shepardson	http://aksw.org/notInWiki/David_Shepardson
Davie	http://dbpedia.org/resource/Davie,_Florida
Dawn Benner	http://aksw.org/notInWiki/Dawn_Benner
Dawud Walid	http://aksw.org/notInWiki/Dawud_Walid
Daytona	http://dbpedia.org/resource/Daytona_Beach,_Florida
Debbie Kozak	http://aksw.org/notInWiki/Debbie_Kozak
Decatur	http://dbpedia.org/resource/Decatur,_Georgia
Defense Force	http://dbpedia.org/resource/Australian_Defence_Force
